cached,bSize,bCount,run,MBspeed,Bspeed,seconds
0,65536,32768,6,273.39,286668614.71,7.49
0,65536,32768,7,268.51,281550053.79,7.63
0,65536,32768,8,272.10,285313115.74,7.53
0,65536,32768,9,304.97,319780969.43,6.72
0,131072,16384,0,255.01,267393920.92,8.03
0,131072,16384,1,275.82,289218011.70,7.43
0,131072,16384,2,290.32,304427754.38,7.05
0,131072,16384,3,267.44,280435315.36,7.66
0,131072,16384,4,248.84,260926697.58,8.23
0,131072,16384,5,279.14,292703465.83,7.34
0,131072,16384,6,303.71,318465557.31,6.74
0,131072,16384,7,241.19,252904760.59,8.49
0,131072,16384,8,263.16,275942857.07,7.78
0,131072,16384,9,287.17,301122827.14,7.13
0,262144,8192,0,199.36,209045480.15,10.27
0,262144,8192,1,189.54,198747191.24,10.81
0,262144,8192,2,187.54,196653129.36,10.92
0,262144,8192,3,211.49,221760544.65,9.68
0,262144,8192,4,203.79,213689978.09,10.05
0,262144,8192,5,195.57,205071080.36,10.47
0,262144,8192,6,221.89,232672074.52,9.23
0,262144,8192,7,204.26,214184101.58,10.03
0,262144,8192,8,214.40,224818619.16,9.55
0,262144,8192,9,197.14,206716317.60,10.39
0,524288,4096,0,235.71,247162035.20,8.69
0,524288,4096,1,217.16,227713314.77,9.43
0,524288,4096,2,227.81,238874393.56,8.99
0,524288,4096,3,224.66,235573483.46,9.12
0,524288,4096,4,236.56,248049220.30,8.66
0,524288,4096,5,235.60,247046390.94,8.69
0,524288,4096,6,226.93,237949304.76,9.02
0,524288,4096,7,215.46,225928952.79,9.51
0,524288,4096,8,242.72,254507504.68,8.44
0,524288,4096,9,228.52,239619799.99,8.96
0,1048576,2048,0,217.56,228123233.02,9.41
0,1048576,2048,1,231.15,242378440.49,8.86
0,1048576,2048,2,238.39,249972601.44,8.59
0,1048576,2048,3,221.62,232385194.71,9.24
0,1048576,2048,4,229.20,240328762.44,8.94
0,1048576,2048,5,215.65,226129578.61,9.50
0,1048576,2048,6,215.65,226126053.20,9.50
0,1048576,2048,7,217.96,228544226.66,9.40
0,1048576,2048,8,226.90,237922862.21,9.03
0,1048576,2048,9,230.43,241622112.42,8.89
