blockSize,blockCount,numThreads,cached,run,MBspeed,Bspeed,seconds
512,4194304,8,0,1,259.98,272607473.04,7.88
512,4194304,8,0,2,245.10,257006533.18,8.36
512,4194304,8,0,3,249.74,261874740.78,8.20
512,4194304,8,0,4,286.62,300547364.98,7.15
1024,1048576,8,0,0,263.19,275973970.31,3.89
1024,1048576,8,0,1,329.60,345607662.63,3.11
1024,1048576,8,0,2,220.31,231008747.89,4.65
1024,1048576,8,0,3,277.03,290489407.70,3.70
1024,1048576,8,0,4,254.10,266443783.79,4.03
2048,1048576,8,0,0,232.92,244238391.54,8.79
2048,1048576,8,0,1,267.48,280475755.54,7.66
2048,1048576,8,0,2,268.87,281932809.16,7.62
2048,1048576,8,0,3,237.45,248983232.82,8.63
2048,1048576,8,0,4,262.48,275233943.82,7.80
4096,524288,8,0,0,232.66,243956634.34,8.80
4096,524288,8,0,1,221.28,232031159.62,9.26
4096,524288,8,0,2,286.27,300170695.76,7.15
4096,524288,8,0,3,293.37,307617504.24,6.98
4096,524288,8,0,4,238.42,249998362.56,8.59
8192,262144,8,0,0,236.70,248196372.71,8.65
8192,262144,8,0,1,225.66,236617422.80,9.08
8192,262144,8,0,2,247.42,259441337.39,8.28
8192,262144,8,0,3,245.51,257438889.12,8.34
8192,262144,8,0,4,236.72,248214101.01,8.65
16384,131072,8,0,0,234.94,246356381.78,8.72
16384,131072,8,0,1,239.17,250783056.87,8.56
16384,131072,8,0,2,272.83,286085649.26,7.51
16384,131072,8,0,3,266.12,279046547.97,7.70
16384,131072,8,0,4,251.33,263543077.46,8.15
32768,65536,8,0,0,251.21,263414604.65,8.15
32768,65536,8,0,1,235.22,246642726.62,8.71
32768,65536,8,0,2,241.48,253207614.51,8.48
32768,65536,8,0,3,251.53,263746211.85,8.14
32768,65536,8,0,4,249.20,261304900.44,8.22
65536,32768,8,0,0,249.58,261701392.00,8.21
65536,32768,8,0,1,253.41,265719504.08,8.08
65536,32768,8,0,2,244.34,256205369.10,8.38
65536,32768,8,0,3,239.28,250902394.49,8.56
65536,32768,8,0,4,242.75,254547056.14,8.44
131072,16384,8,0,0,293.42,307672197.05,6.98
131072,16384,8,0,1,301.26,315894495.42,6.80
131072,16384,8,0,2,253.11,265409624.33,8.09
131072,16384,8,0,3,268.38,281419440.34,7.63
131072,16384,8,0,4,245.42,257338322.78,8.34
262144,8192,8,0,0,282.92,296663137.38,7.24
262144,8192,8,0,1,279.65,293236958.54,7.32
262144,8192,8,0,2,220.65,231365574.71,9.28
262144,8192,8,0,3,278.21,291724989.48,7.36
262144,8192,8,0,4,250.18,262328191.28,8.19
64,33554432,16,0,0,200.83,210582891.27,10.20
64,33554432,16,0,1,205.00,214954550.41,9.99
64,33554432,16,0,2,207.74,217833429.16,9.86
64,33554432,16,0,3,219.15,229798072.37,9.35
64,33554432,16,0,4,213.01,223360752.71,9.61
128,16777216,16,0,0,280.31,293927567.13,7.31
128,16777216,16,0,1,282.64,296372365.19,7.25
128,16777216,16,0,2,280.15,293759187.26,7.31
128,16777216,16,0,3,244.61,256487222.07,8.37
128,16777216,16,0,4,254.79,267168480.30,8.04
256,8388608,16,0,0,239.27,250889500.31,8.56
256,8388608,16,0,1,279.94,293535420.68,7.32
256,8388608,16,0,2,271.08,284245885.55,7.56
256,8388608,16,0,3,280.51,294137648.43,7.30
256,8388608,16,0,4,220.75,231476947.14,9.28
512,4194304,16,0,0,289.05,303086380.59,7.09
